Name,Website,Industry,Company Size,Headquarters,Type,Founded,Specialties,About Us,Error
ARMCOA,http://WWW.ARMCOA.COM,Construction,11-50 employees,"Winter Park, Florida",Privately Held,2016,"Renovations, Tenant Turns, Occupied Maintenance, Recurring Maintenance, Inspections, Estimates, and Third Party Trades","ARMCOA provides resources designed to streamline construction and maximize ROI for REITs, Investors, Agents, Property Managers, and iBuyers.  Serving some of the biggest and brightest brands in the industry, our team has completed over 7,000 renovations across 11 major markets.  With a passion for quality service, we specialize in Initial Rehabs, Tenant Turns, Occupied/Recurring Maintenance, Pre/Post Acquisition Inspections and Bids, Third Party Sourcing/Management, and much more.",
MLC Properties & Management,https://mlcproperties.com/index.php/en/,Real Estate,11-50 employees,"Chicago, Illinois",Self-Owned,1996,"leasing, renting, apartments, managing, rental property, property management, investment property, real estate, building management, condo rental, and condominium","MLC PROPERTIES and MANAGEMENT promise its property owners to provide high quality management services thus maximizing the property owner’s cash flow. MLC owns and manages all types of real estate.

A happy and satisfied tenant produces a profitable property. We are very well known as a “hands on company”.

What this means is that our well trained staff is very much involved with the property and its tenants. We stress communication between tenants and management. Our office staff manages the leasing, work orders, work schedules, accounting and over all communication with the tenants.",
NterNow - innovative self-touring,http://www.nternow.com,Real Estate,11-50 employees,"Marietta, GA",Privately Held,2016,"Instant Home Access for Buyers, Sales Acceleration for Builders, Lead Generation, Secure Access System for Property Managers, Proptech, Self Touring Solution, Remote Access, Smart Locks, Smart Homes, and Secure Access for Single Family REntals","NterNow is Your Real Estate Engagement Platform

Empower prospects to tour seamlessly and independently - and much more. 

Nearly 60% of new home buyers prefer to tour homes in person before making a purchase decision, and 64% prefer to self-tour homes on their own schedule, according to Zillow. NterNow enables you to provide a safe and secure experience for buyers who prefer to tour on their own schedules, without an agent or sales rep.

A single platform that works with your entire inventory, including smart homes and traditional homes. Easily manage your inventory, expand your hours of operation, and increase leads and engagement.

Award-Winning Immersive Self-Tour Experiences: Prospects can schedule a visit for any property on-demand to safely and securely tour your homes for sale. Create immersive in-home experiences to engage buyers.


Remote Management and Advanced Lead Capture
More than 100,000 prospects and Realtors have self-toured properties using NterNow. You collect contextual data for sales follow-up, and all data is captured in your favorite CRM.

NterNow is changing how builders and rental community property managers do business. See what NterNow can do for you!",
Real Property Management Volusia-Flagler,N/A,Real Estate,11-50 employees,"S.Daytona Beach, Florida",N/A,N/A,"Property Management, Tenant Selection, Rent Collection, Tenant Screening, Evictions, Maintenance, and Inspections","Real Property Management Volusia-Flagler operates in the Volusia- Flagler area.  Whether you own a single rental home or several rental properties, we’re here to help you get the most out of owning rental properties. Our goal is to maximize your income, minimize your expenses, and preserve your property’s value.
Not only will you benefit from our professional team’s local knowledge and expertise, our local office is part of the nation’s trusted leader in residential property management. For the past 25 years, Real Property Management has refined property management so you get the most out of your rental property.",
The New Washington Land Company,http://www.tnwlc.com,Real Estate,11-50 employees,"Washington, DC",Partnership,1983,property management and brokerage,"The New Washington Land Company (TNWLC) has long been a local leader in specialized property management. Our ready responsiveness and state-of-the-art technology serve residents of single family homes, non-profit organizations, cooperatives and condominium buildings. Today, TNWLC provides services to nearly 80 residential associations with properties ranging from quaint fourplex boutiques to luxury 150+ unit high rises.

PROPERTY MANAGEMENT
The New Washington Land Company leads the industry with a responsive and energetic team supported by up to date technology. We strive to be the best by offering:
*Specialized condominium management
*Responsive & easily-accessible property managers
*A secure website dedicated to your community
*Various payment options including online payments and credit cards or e-checks
*Community email notifications
*24/7 emergency line and online routine maintenance requests
*Single family and multi-family rental property management
*Condominium and Single Family sales advice/education

SALES
At the request of many clients, TNWLC is proud to announce the launch of our Real Estate Sales Division founded with the concept of serving both Buyers and Sellers in the condominium market.

To assure excellence for this additional customer service, TNWLC has partnered with a managerial team backed by over fifty years of combined real estate experience. Our new team, headed by John Fitzgerald and supported by Steven Henry, has been recognized with many awards and topped every ‘best of’ list in local real estate. In the last decade, our team brokered more than 40 new condominium development projects, staging and selling out many hundreds of condos. They are adept at understanding and countering challenges of slower, difficult markets, and also know how to price and when to list to take advantage of hot property trends. For Sellers, TNWLC sales division offers a complete marketing plan to help you sell your property quickly and realize top dollar.  One of the key benefits of listing your property for sale with The New Washington Land Company is that all required resale packages and lender condo questionnaires are handled in-house quickly, efficiently and at NO COST to you as the Seller.",
Rent All Como,http://www.rentallcomo.com,Real Estate,11-50 employees,"Como, (CO)",Privately Held,2017,"Vacation rentals, Property Management, Revenue Management, Hospitality services, and Short-Term rents","Rental Lake Come is owner of the brand ""Rent All Como"".
We are a leading company in Como Lake area - operating vacation rentals, short-term rentals and apartments rental for business trips.
We help owners to manage their property and the tourists to enjoy their stay in Italy.",
Wellman Exteriors Inc,http://www.wellmanexteriors.net,Consumer Services,11-50 employees,"Whitestown, Indiana",Privately Held,1992,"Gutter Cleaning, Dryer Vent Cleaning, Chimney Cleaning, and Maintenance","We have offered gutter cleaning, dryer vent cleaning, and chimney cleaning to residential homes, apartments, and condominiums since 1992. Most property owners and managers understand how important it is to keep their gutters, dryer vents, and chimneys clean and clear.  You will prevent a multitude of problems by spending a little money on preventative exterior home maintenance.   Call or email our friendly staff and we will give you an exact price over the phone/via email, and get you scheduled at your convenience.  
Feel confident with Wellman Exteriors and the exterior maintenance services we provide. Backed by more than 20 years of experience, we guarantee our work 100%.   Additionally, we have an A rating on Angie's List™ and the Better Business Bureau.  We are fully licensed, bonded and insured to service any property around the country.  Unlike most vendors, we can handle any management company's full national portfolio all under one roof; we never use subcontractors! 

inquiries@wellmanexteriors.net

1-855-532-WELL (9355


We have entry level and senior positions available all over the country! 
For career opportunities please email blinville@wellmanexteriors.net",
"Steady Technologies, Inc",http://www.steadyrent.com,Software Development,11-50 employees,New York,Privately Held,2018,N/A,"Steady is a leading technology platform for property managers and owners of single-family rental homes. Steady offers a suite of tailored financial and insurance products that are designed to reduce risk for the owners generate ancillary revenue for our property manager partners. Steady’s technology provides property managers with products that benefit their owners, while also giving them competitive differentiation to grow their businesses.",
DrizzleX,http://www.drizzlex.com,Software Development,11-50 employees,"Montebello, California",Privately Held,2019,"Proptech, Cleantech, Real Estate, Environmental impact, Social Impact, Smart Water Metering, IoT, IoW, Billing, AI, and Water","DrizzleX is an Impact Proptech startup offering Water-management Software as a Service. The market for their offering amounts to $40B.
DrizzleX's technology saves landlords billions of dollars by empowering users (mainly property managers and tenants) to smartly manage their water consumption, and by enabling billing tenants for their actual water usage. It solves the longstanding need for high-resolution, real-time data about water usage in multifamily properties, which usually do not have individual water meters.
A typical 1,000 unit owner will have his property value increased by $5m.
DrizzleX is installed in hundreds of units with sales projections reaching tens of millions of ARR dollars
DrizzleX's growth is projected to be very high for the coming years with exponential growth due to organic growth and government programs encouraging and mandating water conservation.",
Stop-N-Go Storage Management,http://www.storageoh.com,Business Consulting and Services,11-50 employees,"Delaware, Ohio",Self-Owned,2014,"Management, Self Storage, Consulting, Start-up, storage, development, Real Estate Development, Pre-Contract Negotiation, and Property Management","We specialize in auditing, consulting, and property management operations. Our services cover third-party transitional and startup management, including feasibility studies for self-storage owners who are between managers or are looking to get into the storage industry.

Our experience and professional approach allow us to maximize the potential of our clients' properties, while maintaining the values and standards that they have come to expect from us. 

Please Direct All Business Inquires To Alexis@stopngostorage.com or Mike@stopngostorage.com.",
Pickspace - Property Management Software,https://www.pickspace.com,Software Development,11-50 employees,"New York, NY",Privately Held,2019,"software, real estate tech, real estate software, fintech, commercial real estate software, Property management software, and Proptech","Pickspace is an innovative, fully customizable, cloud based property management software solution, designed to help property managers manage their properties more effectively, save on operating costs and increase profitability.

Pickspace provides a full range solution that perfectly suits the dynamic and ever changing needs of property managers today. The solution simplifies the tasks that property managers face daily, from marketing vacant units to a wide range of personalized support and reports.",
CoHostMarket.com,https://www.cohostmarket.com,Internet Publishing,11-50 employees,"Washington, DC",Self-Owned,2019,"Marketplace, Airbnb Market Place, and Find Local Co-hosts","Don’t Airbnb it alone. Make renting your space a team effort with Co-hosting Management

CoHostMarket is a brand new marketplace for homeowners and Airbnb property manager/short term rental property management who run or wish to start short term rental, and need extra set of hands to help them manage their property, listing or guest in more than 190 countries.

Co-Host market is a tool for connecting Airbnb hosts, which are remote short-term rental property managers, to the homeowners and real estate professionals who need their services. There are also cleaning professionals and other interested parties on the platform, all looking to help out others and build businesses for themselves. The value that we provide comes down to convenience and security: we are making it easy and safe for people to set up co-hosting arrangements.

CoHostMarket gives you:
Verified ID: Each user is carefully selected by our team and an official ID is mandatory to open an account.
Worldwide Access: Get unlimited access to all location in more than 190 countries
24/7 customer support: Need assistance? Contact our Live Chat or by Email and we’ll reply right away!
For more information, visit: www.cohostmarket.com",
Black Tie Ski Rentals of Aspen,http://aspen.blacktieskis.com,Sporting Goods Manufacturing,11-50 employees,"Aspen, CO",Self-Owned,N/A,"Ski Rentals, Snowboard Rentals, and Delivery","Spend your next ski vacation...skiing! Don't waste a minute waiting in line at ski equipment rental shops. With Black Tie Ski Rentals' delivery service, you can place your order for skis, snowboards, boots and helmets before you arrive. Then we'll deliver the equipment and do a professional, custom fitting in your hotel room, condo or vacation home. Wherever you're staying in the area, we bring our premier ski shop to you.",
Latin Exclusive,http://www.latinexclusive.com,Real Estate,11-50 employees,"New York, NY",Privately Held,2007,"Real Estate, Real Estate Investment, Concierge, Travel Design, Consulting, Latin America, Hospitality Management, and Sports Events","Latin Exclusive is an elite agency that combines personalized real estate services, luxury vacation rentals & bespoke concierge services. We make part of  Group Exclusive is a holding group of brands and companies from the luxury sector. We break the boundaries and deliver fully customized and bespoke portfolio of real estate, hospitality and special event services. Our ultimate goal is to always deliver unique guest experiences through a curated & tailor made approach. 

Group Exclusive unites three main luxury brands: Latin Exclusive, Sports Exclusive and Majlis Exclusive; with offices in Rio de Janeiro, Bogota, Mexico, Paris, Moscow and Doha. 

We are the leaders in the luxury market industry, offering award-winning services, encompassing vacation planning, real estate, concierge services, event production, sports hospitality and investment consulting. 

Our international team, has an extensive knowledge across all of our markets, where we acquired our specializations over the last 10 years of tracked history. That vast and long term experience, offers unsurpassed quality and guaranteed satisfaction.",
"Foster/Premier, Inc.",http://www.fosterpremier.com,Real Estate,11-50 employees,"Buffalo Grove, Illinois",Privately Held,1992,N/A,"Foster/Premier, Inc. is a full service property management company. Foster Premier manages over 200 different Community Associations throughout the Chicagoland area. We pride ourselves on managing properties as if we lived on the property and it was our own. We work to improve the property values of residents' homes and ensure peaceful enjoyment within their community by providing efficient daily operations, well-managed capital improvements, accurate accounting records, and effective financial planning.

Foster/Premier, Inc. has a commitment to excellence and professionalism driven by a dedication to building and maintaining long-term relationships with our clients. Foster Premier is a leader in managing active adult communities in the Midwest and is the preferred management company for a number of active adult communities.

Foster/Premier, Inc. concentrates its efforts on the services and solutions demanded by its clients. The firm is built upon the structure of utilizing skills and resources of aligned professionals who are specialists in their fields. This allows Foster Premier to concentrate on ensuring that the goals and objectives of our clients are our first priority.

Foster/Premier, Inc. acknowledges that each client is unique and that having a specialized, disciplined, and structured approach to each client’s needs is essential. We adapt services to meet the individual needs and objectives of every community we represent. Foster Premier provides dependable management services that people have come to know and expect from our name and reputation. This means we build long-term relationships with our clients. Client’s properties are well maintained which means, satisfaction for residents, and less worry for owners.

Foster Premier, Inc. is organized to serve our client’s needs with:
 	• Two Central offices	 
 	• On-site offices
	• Senior staff of experienced managers",
Ventract,https://www.ventract.com/,Strategic Management Services,11-50 employees,"Norwalk, Connecticut",Privately Held,2015,"Construction Procurement, Property Management Technology, Workflow, and Artificial Intelligence","Ventract is the ultimate tool for Property Management and Contractors. Ventract is a smart, simple solution for hiring contractors for all of property managers’ yearly jobs. We help drive down cost and time for the user on either side of the marketplace. We have saved property managers and Housing Authorities up to 20% on their jobs and provide contractors access to more job opportunities than ever before.",
Community Construction Services,http://www.communityconstserv.com,Construction,11-50 employees,"Norco, CA",Privately Held,2001,"General Construction, Remodeling, Handyman Services, Electrical, Plumbing, Painting, Drywall, Stucco, Concrete, Acoustic Removal, Concrete Grinding, Tenant Improvement, Water Intrusion, Water Proofing, Wood Replacement, Deck/Floor Coatings, and Mouldings","Community Construction Services (CCS) is a licensed and insured general contracting firm that specializes in general construction, remodels, property managment services, construction rehabilitation, insurance reconstruction to handyman repairs.

The quality of our work sets CCS apart from the competition. Regardless of cause, size of project or expertise required, CCS delivers on time and on budget.

You'll appreciate the highly professional team of qualified estimators, project managers, construction supervisors, skilled craftsman and dedicated management personnel we've assembled to meet your needs.

At CCS, we understand the critical importance of communication: Clear, concise and complete communication throughout the entire course of your project or series of projects. Keeping you informed is a vital componet of the CCS process, another customer satisfaction benefit of working with CCS.

Call Community Construction Services (CCS) for all of your
construction service requirements.

Phone: 951.278.0497 
Toll Free: 877.278.0497
Fax: 951.372.0187 
CA St. License #794494",
aXessPoint,http://www.axesspoint.net,"Technology, Information and Internet",11-50 employees,"Honolulu, Hawaii",Privately Held,2015,"Property Management, Software, App Development, HOA, community, realestate, Commercial Property, Residential Property, real estate development, Marina Management, Parking Management, Property Restoration, accounting services, project management, and OH&S","We are a Honolulu-based property-technology company dedicated to the superior management of properties, facilities and enterprises. Our software delivers efficiency, performance and processes and allows stakeholders to make better strategic decisions resulting in valuable savings that are reinvested into communities. You may have heard of The Condo App. - in 2017, we re-branded as ‘aXessPoint’ with a fresh approach, enhanced software, and a new website. Our innovative technology is changing the way thousands of residents, property management companies, resident managers, boards and vendors get things done.

Who uses aXessPoint? Everyone.

Board Members: aXessPoint is highly affordable and easy to set up. Oversee projects, manage budgets, create reports, access contacts, securely store documents and stay compliant. Prioritize, plan and make better decisions even faster. Additionally, we have an industry-leading partner network complete with first-class solutions for your community including full-service accounting, and a premium project management suite.

Property Managers: Receive instant updates on all properties, from maintenance projects to emergency alerts. Communicate with staff, board members and preferred vendors in seconds with one-touch functionality.

Resident Managers: With aXessPoint as a virtual assistant, staying organized has never been easier. Store, send, receive and track a wide variety of communications with everyone in the community, 24/7 from anywhere in the world.

Residents: Skip the office visit. aXessPoint is the place for community forms; emergency plans; vendor and management communications; amenity and facility reservations; alerts; lost-and-found; and payment capabilities.  Enjoy instant access 24/7.

Features: Communication; Scheduling; Paperwork; Payments; Digital Bulletin Board; Analytics and Reporting; Security; One-touch Contact; New Tenant Inspections Log; Emergency Information; Guest Parking Registration; Instant Messenger Chat.",
Capps Plumbing and Sewer Inc,http://www.cappsplumbing.com/,Utilities,11-50 employees,"Wheeling, Illinois",Privately Held,1996,"plumbing, Plumbing Contractor, Commercial Plumbers, Sewer, Sewer Technicians, Sewer Rodding , Emergency Plumbing, Water Heaters, Drain Specialists, Sump Pumps, Ejector Pumps, Property Managers, and Facility Managers","Capps Plumbing and Sewer is a family-owned and operated plumbing business serving the north and northwest suburbs of Chicago for over 20 years. We are the go-to choice for property managers, facility managers and homeowners. Capps Plumbing and Sewer are your  local, expert plumbers - our professional team of plumbing experts have the experience and reliability you can count on!",
KOALA,https://koala.vacations,"Technology, Information and Internet",11-50 employees,"Brooklyn, NY",Privately Held,2020,"travel, hospitality, vacations, accomodations, vacation rentals, and timeshare",KOALA is a marketplace offering vacation rentals at up to 70% off retail. We’ve unlocked the largest untapped travel supply in the world by empowering owners to monetize their unused timeshare.,
First Service Group,http://www.fsgrents.com/,Real Estate,11-50 employees,"Star, Idaho",Public Company,1980,N/A,"Our comprehensive array of services includes everything from traditional property management to complete brokerage services. All delivered with an exacting standard of excellence. Family owned and operated company since 1980. Specializing in Boise property management, real estate sales, leasing, and asset portfolio management of income property throughout the Treasure Valley. No matter what your property needs are to achieve peak performance, we can provide it. We are a full-service Real Estate and Property Management company in Boise, ID.",
Retrofitting360,https://www.retrofitting360.com/,Construction,11-50 employees,"Tarzana, California",Partnership,2016,"soft story retrofitting, ADU, earthquake retrofitting, mandatory retrofitting, and general contracting","Retrofitting 360 is a boutique retrofit company specializes in construction & management of the Soft Story Retrofit process. Just like the logo says, we cover all aspects of the retrofitting process starting with cost-effective design & engineering, permit submission, Tenant Habitability Program (THP), construction and tenant management as well as obtaining the certificate of compliance & cost recovery assistance.

Since early 2016, our professional team members have collectively worked on over 300 soft story retrofit projects in the greater Los Angeles area, Santa Monica, Marina Del Ray and we are currently in various stages of engineering and permitting of approx 160 more.

We understand the challenges that come with retrofitting a building and that’s why we invest a great deal of time in creating cost-effective designs that fits the specific needs of your building in order to reduce construction time and the inconvenience that comes with it. We are licensed, insured and bonded general contractor and our management team consist of industry professional with years of experience in the construction and seismic engineering fields.

RetroFitting 360 was created to assist building owners and property managers, comply with the Mandatory Soft Story Retrofit program under the City Of Los Angeles Department of Building and Safety (LADBS) ordinance, currently in effect as of October 2015.",
Landmark Property Management,http://www.chicagospropertymanagement.com,Real Estate,11-50 employees,"Chicago, Illinois",Privately Held,2014,"Property Management, Multi-Family Real Estate, Commercial Real Estate, Real Estate Investments, and Construction","Landmark Property Management of Chicago is a full service property management company that offers tailored solutions for landlords and investors to ensure the highest quality service for your property. Landmark handles everything real estate related - including buying/selling, leasing, property management, rehabbing, construction, development, real estate investments, and receivership. Not only do we care about your property, but also the details in between. We cover property management services such as finding and placing a resident, coordinating maintenance, rent collection, resident renewals, managing vendor relationships, ensuring compliance with local regulations, and more… We are passionate about serving the client first, building trust, and ensuring each property is well-cared for. Our portfolio ranges from single-family homes, multi-family units, and commercial properties. We serve local and international property owners, who want to enjoy their lives and relax, knowing their properties are actively being cared for.",
Goldnest Property Management,http://www.goldnest.co,Real Estate,11-50 employees,"Dallas, TX",Partnership,2019,"property management, short term rentals, vacation rentals, market and data analysis, dynamic pricing strategy, marketing, property optimization, checkin & checkout services, Property maintenance, housekeeping, financial management, and airbnb host","Goldnest is a boutique property management company specializing in vacation and short term rentals, based in the Dallas/ Fort Worth and Houston areas.
Service is at the heart of what we do. We provide a turnkey solution for short-term rentals property management with our comprehensive range of services, including expert in-house professionals to ensure our homeowners a peace of mind. 

Contact us today and start maximizing your returns, while simplifying property ownership.",
RentalGuardian.com,http://www.rentalguardian.com,Hospitality,11-50 employees,"Pawleys Island, South Carolina",Privately Held,2011,N/A,"RentalGuardian.com makes it simple for those in the travel tech, property management and online travel markets to offer travel and property protection products to their guests, travelers and tenants. RentalGuardian.com is a cloud-based software and application services system that provides a single-source web-based platform for housing property owners and managers to deliver a range of asset and revenue protection products and services.

Our Recommended Platform Providers offer solutions including property protection programs, travel protection and trip cancellation coverage, credit-checking, renter qualification, security services, and damage mitigation.

RentalGuardian’s innovative systems platform enables complete Customer-to-Manager-to-Provider integration, automating order processing, coverage document fulfillment, claims submission, and payment processing. Providers offer and Customers enjoy unique products and solutions, and property Managers and Owners gain a powerful automation tool for improving protection, service response, and customer satisfaction.",
IOA Pros,https://www.ioapros.com,Insurance,11-50 employees,"Pleasanton, California",Privately Held,N/A,"architecture, engineering, construction, design, and insurance","IOA Insurance Services' Design Pro Group provides specialized insurance and risk management services for architects, engineers, environmental consultants, and construction managers to meet its industry’s unique needs, challenges, and risks. We have developed two (2) unique program options that make purchasing the insurance you need easy. 
 
SmartSelect Pro
(Up to $100,000 Billing Sized Firms)
 
IOA has partnered with the Traveler’s and The Hartford insurance groups to create SmartSelect Pro, which includes professional liability and other business insurance coverages for architects, civil/mechanical/electrical engineers, land surveyors, and landscape architects. 

SmartSelect Pro makes the application process easy. With an online approval process, you can purchase your coverage online in a matter of minutes and begin receiving the following insurance policy protections almost immediately. 
 
SmartChoice Pro
($100,000+ Billing Sized Firms)
 
IOA’s SmartChoice Pro program specializes in meeting the needs of larger design practices, which may include professional liability, general liability/umbrella liability/property insurance, workers' compensation, and automobile policy coverage. 
 
Contact IOA today at admin@ioapros.com to learn how we can ensure that your practice is well-protected at an affordable cost.",
Luxury Coastal Vacations,http://www.goLCV.com,Travel Arrangements,11-50 employees,"Pensacola, FL",Privately Held,2007,N/A,"Luxury Coastal Vacations in Perdido Key, Florida offers the best vacation rental options in Perdido Key and Orange Beach. We handle more than 300 luxury vacation rentals.

When you book a Perdido Key or Orange Beach vacation rental with Luxury Coastal Vacations, you will enjoy our exclusive extras, including 100% cotton oversized monogrammed bath towels, luxury sheets, and deluxe bath amenities, just to name a few.",
NORTHWEST PROPERTY & FINANCIAL MANAGEMENT CORPORATION,http://nwpropertymanagement.net,Real Estate,11-50 employees,"Crystal Lake, Illinois",Privately Held,1979,"Community Association Managment, Property Management, Maintenance, Property Inspections, Capital Improvements, Contract Negotiations, Financial Reporting, Delinquent Account Collections, Budget Preparations, Account File Management, Monthly Report Monitoring, and Investment Monitoring","Northwest Property & Financial Management specializes in Residential Community Associations and Commercial Property Management, and has been an industry leader since 1979.  Headquartered in both Crystal Lake and Geneva Illinois, we represent over 100 Associations in McHenry, Kane, Lake, Cook, Will, Boone and DuPage Counties.  

Our areas of expertise include managing Condominium, Townhome, HOA and Commercial Community Associations.  If you are looking for Expertise, Experience, and Excellence, look no further!  

Northwest boasts a very experienced staff of 12 licensed Property Managers and a top notch Financial/Accounting Department.  Customer service and attention to detail highlight the company's success.  Clients look to Northwest Property Management to be a great partner in the management of their properties, large or small.  

EMT Construction is the construction and maintenance division of Northwest Property Management.  Assembled to specifically provide quality and timely maintenance service to our clients.  Our experienced staff has an average of 20+ years in the commercial and residential construction trades.  EMT can handle the full spectrum of repairs from routine work orders to large capital improvement projects.  The EMT staff is also available 24/7 to promptly handle those after hours emergencies.  Owners can rest easy when EMT is on the job!",
"LA COSTA SALES & RENTALS, INC.",http://lchomes.com,Real Estate,11-50 employees,"CARLSBAD, California",Privately Held,N/A,"Real Estate Sales, Rental Properties, and Property Management","Local experts in Real Estate and Property Management.
Offering Real Estate solutions in North County San Diego since 1982.

Real Estate Sales
Seller Representation
Buyer Representation
Homes For Sale
Property Management Services
Lease Only Services
Unfurnished Rentals
Furnished Rentals
Vacation and Short Term Rentals",
Favorite Tenant,https://www.FavoriteTenant.com,Real Estate,11-50 employees,"Pittsburgh, Pennsylvania",Privately Held,2018,"real estate, real estate services, property management, real estate management, and hospitality","Ready for your new Favorite Tenant?  We make long-term property management free and effortless.  We pay landlords full market rates on long-term property leases so they never have to manage their own rentals or pay any management fees. 

How - Short-term guests such as business travelers, AirBnB, and corporate housing pay more per night than long-term renters but require dramatically more work.  We rent long-term leases from landlords, offer short-term guests premium service and accommodations, handle listings, logistics, hosting, cleaning, repairs, and insurance, and run our business off the difference. 

Who - Favorite Tenant was created By Landlords For Landlords™.  We built and are proudly sharing the solution to all the headaches that we encountered when managing our own rentals.  Our industry expertise, best practices, AI powered automation software, strategic partnerships, and efficiencies of scale, allow us to offer a better experience for landlords and short-term guests, at a lower cost, than anyone else in the world.  

Where - We are proudly based in Pittsburgh, PA and are expanding to all cities across the USA.  Please visit us at https://www.FavoriteTenant.com to learn more.",
Alliance Commercial Property Management,http://www.alliancecommercialpropertymanagement.com,Leasing Non-residential Real Estate,11-50 employees,"Greensboro, NC",Privately Held,2010,"Receivership Services, Lease Administration, Accounting Services, and Caretaker Services","Alliance Commercial Property Management provides turnkey third-party property management services for a diverse portfolio of commercial properties - office, industrial and retail centers - located across the Southeast. Located dually in Greensboro, NC and Charleston, SC, we provide diligent and sensible management. Our weekly property visits and customized monthly reports to owners is what sets us apart.",
"Findigs, Inc.",http://www.findigs.com,Software Development,11-50 employees,New York,Privately Held,2018,N/A,"Findigs makes renting safe and easy for renters and property managers. Rent units faster with zero fraud. Our digital underwriting platform verifies every applicant’s identity and income in minutes, no matter how they earn money. Fast, secure rental applications. Seamless screening and decision-making. This is renting, redesigned.",
Krieger Property Management,https://kriegerny.com/,Real Estate,11-50 employees,New York,Privately Held,2018,"opportunity zones, multifamily investing, real estate syndication, value add, flex space investing, and infill development","Experience makes a difference and our property managers have the expertise necessary to meet our client’s objectives and provide a level of service that is necessary to achieve a well run property. We are a full service property management company specializing in managing multifamily apartments buildings, office properties, retail centers, condominium buildings, and condominium units.",
Cozi Vacation Rentals,http://www.cozivr.com,Travel Arrangements,11-50 employees,"Fredericksburg, Texas",Privately Held,2016,N/A,"Cozi Vacation Rentals is a Premier Marketing and Management provider to upscale Vacation Rental and Investment Properties Owners.

Founded in 2016 and based in Austin, Texas; Cozi embarked on a mission to redefine the short-term rental industry, which we believed was lacking in top-notch experiences for both owners and guests.

For our Owners: Cozi’s innovative, technology-driven cross platform software architecture, coupled with our unparalleled customer service expertise, ensures you will maximize your ROI, while providing full insight into your investment's performance.
 
For our Guests: Cozi’s hospitality professionals are committed to ensuring they will have a Cool, Comfy and Cozi stay experience, each time.",
StayMarquis,https://www.staymarquis.com/,Real Estate,11-50 employees,"Melville, New York",Privately Held,2018,N/A,"StayMarquis is a first-class vacation rental company that allows owners and guests to ""rent without reservation"". We manage every step of the vacation rental process, removing the stresses that come with being a landlord while bringing the hospitality to the home for each guest. We currently operate over 700 luxury vacation rentals in markets across the Hamptons, North Fork, Hudson Valley, Berkshires, Litchfield and Aspen/Snowmass.",
PLUS Property Management OR,http://www.investoregon.com,Real Estate,11-50 employees,"Bend, OR",Self-Owned,2003,N/A,"In my 30 plus years in the property management business I think it is accurate to say that this is the most challenging time I have ever experienced. With unemployment exceeding twenty percent paired with frustration and fear for both landlords and tenants being at an all-time high, Property Managers are more crucial than ever. Both landlords and tenants look to their property management company for reputable guidance.
 I must add, it has been heartwarming to see how tenants and landlords seem to understand the other side of the equation. PLUS has collected over 88% of the scheduled rents due. Now, that does not mean there are no hardships among our tenant population. There are numerous true hardships; cases of delayed unemployment checks, sudden job losses, tenants being denied eligibility for unemployment benefits and people borrowing money from their families in order to pay rent. My faith in humanity has truly been restored. Many of our tenants reached out to us prior to their rent’s due date if they knew they would be late. Some of our owners worked out rent deferral terms; not forgiving rent but agreeing to payments on unpaid rents due. The majority of owners have mortgages on their rental property and need the rent to pay these mortgages. Some owners agreed to wait for rent payment until the tenants’ stimulus checks arrived. Most owners waived late fees if the rent was paid in full. This is unchartered territory for the average owner and tenant and the fear of uncertainty is their enemy. The key to keeping the hysteria down is open and honest communication. 
Before the first of each month, we field frequent calls from tenants asking for assistance if they cannot make their full rent payment. We have found our tenants to be very responsible in getting their rent paid in a timely fashion and have not experienced too many issues despite the COVID Pandemic and the unemployment rate across the United States. 
We are thankful for you. Sincerely, Lawnae Hunter",
ISLAND REAL ESTATE VACATIONS LLC,http://www.islandreal.com,Travel Arrangements,11-50 employees,"Holmes Beach, Florida",Self-Owned,2020,N/A,"ISLAND REAL ESTATE VACATIONS LLC. is the newly revamped rental division of Island Real Estate of Anna Maria Island Inc. At Island Real Estate, we pride ourselves in being the best in assisting with all your real estate needs and as a rental customer of ISLAND REAL ESTATE VACATIONS, you can expect the same superior service and qualified experienced team to meet your rental management needs!  

Island Real Estate has dominated in real estate on Anna Maria Island for more than 10 years while operating in the same location since 1970 and grew its vacation rentals to over 300 properties before selling the vacation rental division in 2017. In January 2020 Island Real Estate returned to vacation rental management at the urging of our dedicated sales clients and past rental owners and guests who we've serviced for over 20 years.

We are excited to be able to provide personalized customer service to our vacation rental customers again and look forward to what the future holds!",
